CHORD_ROOT,CHORD_TYPE,FINGER_POSITIONS,CHORD_STRUCTURE,DIFFICULTY
F#,6-Sep,"2,1,1,1,3,4",1;3;5;6;9,advanced
F#,6-Sep,"x,x,2,1,3,4",1;3;5;6;9,advanced
F#,6-Sep,"x,2,1,1,3,4",1;3;5;6;9,advanced
G#,13,"3,x,4,2,1,1",1;3;5;b7;9;11;13,advanced
G#,13,"1,x,1,2,3,4",1;3;5;b7;9;11;13,advanced
G#,13,"x,2,1,3,3,4",1;3;5;b7;9;11;13,advanced
G#,13,"1,x,2,3,4,x",1;3;5;b7;9;11;13,advanced
G#,7(#9),"2,1,3,3,3,3",1;3;5;b7;#9,advanced
G#,7(#9),"1,3,1,2,1,4",1;3;5;b7;#9,advanced
G#,7(#9),"x,2,1,3,4,x",1;3;5;b7;#9,advanced
G#,9,"x,1,3,2,4,x",1;3;5;b7;9,advanced
G#,9,"x,x,2,1,3,4",1;3;5;b7;9,advanced
G#,9,"x,2,1,3,4,x",1;3;5;b7;9,advanced
G#,9b5,"2,1,3,1,1,4",1;3;b5;b7;9,advanced
G#,9b5,"x,x,1,2,3,1",1;3;b5;b7;9,advanced
G#,9b5,"1,2,1,3,4,1",1;3;b5;b7;9,advanced
G#,7,"x,x,1,1,1,2",1;3;5;b7,intermediate
G#,7,"1,3,1,2,4,1",1;3;5;b7,intermediate
G#,7,"x,1,3,1,4,1",1;3;5;b7,intermediate
G#,7,"1,3,1,2,1,1",1;3;5;b7,intermediate
G#,dim7,"2,4,1,3,x,x",1;b3;b5;bb7,advanced
G#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
G#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
G#,dim7,"2,x,1,3,1,x",1;b3;b5;bb7,advanced
G#,dim7,"x,x,x,2,1,3",1;b3;b5;bb7,intermediate
G#,dim7,"x,x,x,2,1,3",1;b3;b5;bb7,intermediate
G#,aug,"x,3,2,1,1,x",1;3;#5,advanced
G#,aug,"4,3,2,1,x,x",1;3;#5,advanced
G#,aug,"x,x,4,2,3,1",1;3;#5,advanced
G#,maj,"x,x,1,1,1,4",1;3;5,intermediate
G#,maj,"1,3,4,2,1,1",1;3;5,intermediate
G#,maj,"x,4,3,1,2,1",1;3;5,intermediate
G#,maj,"x,3,1,1,1,x",1;3;5,intermediate
G#,11,"3,x,4,2,1,1",1;3;5;b7;9;11,advanced
G#,11,"x,x,1,1,2,1",1;3;5;b7;9;11,advanced
G#,11,"x,1,1,1,1,1",1;3;5;b7;9;11,advanced
G#,maj9,"2,1,4,1,3,x",1;3;5;7;9,advanced
G#,maj9,"x,x,4,1,2,1",1;3;5;7;9,advanced
G#,maj9,"x,2,1,4,3,x",1;3;5;7;9,advanced
G#,m11,"2,x,3,4,1,x",1;b3;5;b7;9;11,advanced
G#,m7b5,"2,x,3,4,1,x",1;b3;b5;b7,advanced
G#,m,"1,3,4,1,1,1",1;b3;5,intermediate
G#,m,"x,x,1,3,4,2",1;b3;5,intermediate
G#,m,"x,1,3,4,2,1",1;b3;5,intermediate
G#,m,"x,3,4,1,1,x",1;b3;5,intermediate
G#,m,"1,4,x,2,x,x",1;b3;5,beginner
G#,m,"3,1,x,x,x,x",1;b3;5,beginner
G#,m,"1,3,4,1,1,x",1;b3;5,intermediate
G#,7b5,"x,x,2,4,1,3",1;3;b5;b7,advanced
G#,7b5,"1,3,2,4,x,x",1;3;b5;b7,advanced
G#,7b5,"x,x,1,2,3,4",1;3;b5;b7,advanced
G#,m7,"1,3,1,1,4,1",1;b3;5;b7,advanced
G#,m7,"x,x,1,4,2,3",1;b3;5;b7,advanced
G#,m7,"x,1,3,1,2,1",1;b3;5;b7,advanced
G#,m7,"2,x,3,3,3,x",1;b3;5;b7,advanced
G#,m7,"1,3,1,1,1,4",1;b3;5;b7,advanced
G#,m7,"2,1,3,4,0,x",1;b3;5;b7,advanced
G#,m7,"2,x,3,4,x,x",1;b3;5;b7,intermediate
G#,m7,"x,2,1,3,4,x",1;b3;5;b7,advanced
G#,m7,"1,3,1,1,1,1",1;b3;5;b7,advanced
G#,m7,"1,3,1,1,1,x",1;b3;5;b7,advanced
G#,dim,"x,x,4,3,1,2",1;b3;b5,intermediate
G#,dim,"1,2,4,1,x,x",1;b3;b5,intermediate
G#,dim,"x,1,2,4,3,x",1;b3;b5,intermediate
G#,dim,"x,x,3,1,4,x",1;b3;b5,beginner
G#,dim,"x,x,x,2,1,3",1;b3;b5,beginner
G#,dim,"2,x,x,3,1,x",1;b3;b5,beginner
G#,dim,"x,x,x,3,2,1",1;b3;b5,beginner
G#,6,"x,x,1,1,1,1",1;3;5;6,intermediate
G#,6,"1,x,3,2,4,1",1;3;5;6,intermediate
G#,6,"x,4,2,3,1,x",1;3;5;6,intermediate
G#,7(#5),"1,x,1,2,3,1",1;3;#5;b7,advanced
G#,7(#5),"x,1,2,1,1,x",1;3;#5;b7,advanced
G#,7(#5),"x,1,4,1,3,2",1;3;#5;b7,advanced
G#,7sus4,"x,x,1,1,2,3",1;4;5;b7,advanced
G#,7sus4,"1,3,1,4,1,1",1;4;5;b7,advanced
G#,7sus4,"x,x,1,3,2,4",1;4;5;b7,advanced
G#,maj7,"x,x,4,3,2,1",1;3;5;7,advanced
G#,maj7,"1,4,2,3,1,x",1;3;5;7,advanced
G#,maj7,"x,4,3,1,1,1",1;3;5;7,advanced
G#,5,"1,3,x,x,x,x",1;5,beginner
G#,5,"1,3,4,x,x,x",1;5,beginner
G#,5,"x,1,3,x,x,x",1;5,beginner
G#,7(#11),"x,1,3,2,x,x",1;3;5;b7;#11,advanced
G#,m6,"x,x,1,2,0,3",1;b3;5;6,advanced
G#,m6,"1,x,3,1,4,1",1;b3;5;6,advanced
G#,m6,"x,3,1,2,1,x",1;b3;5;6,advanced
G#,m6,"2,x,1,3,3,3",1;b3;5;6,advanced
G#,7(b9),"3,2,4,1,x,x",1;3;5;b7;b9,advanced
G#,7(b9),"1,x,1,2,1,3",1;3;5;b7;b9,advanced
G#,7(b9),"x,2,1,3,1,x",1;3;5;b7;b9,advanced
G#,m9,"1,3,1,1,1,4",1;b3;5;b7;9,advanced
G#,m9,"x,x,2,1,4,3",1;b3;5;b7;9,advanced
G#,m9,"x,2,1,3,4,x",1;b3;5;b7;9,advanced
G#,m9,"2,x,3,1,0,4",1;b3;5;b7;9,advanced
G#,sus4,"x,x,1,1,2,4",1;4;5,intermediate
G#,sus4,"1,1,3,4,1,1",1;4;5,intermediate
G#,sus4,"x,x,1,2,3,4",1;4;5,intermediate
G#,6-Sep,"2,1,1,1,3,4",1;3;5;6;9,advanced
G#,6-Sep,"x,x,2,1,3,4",1;3;5;6;9,advanced
G#,6-Sep,"x,2,1,1,3,4",1;3;5;6;9,advanced
Ab,13,"3,x,4,2,1,1",1;3;5;b7;9;11;13,advanced
Ab,13,"1,x,1,2,3,4",1;3;5;b7;9;11;13,advanced
Ab,13,"x,2,1,3,3,4",1;3;5;b7;9;11;13,advanced
Ab,13,"1,x,2,3,4,x",1;3;5;b7;9;11;13,advanced
Ab,13,"x,x,1,3,3,4",1;3;5;b7;9;11;13,advanced
Ab,7(#9),"2,1,3,3,3,3",1;3;5;b7;#9,advanced
Ab,7(#9),"1,3,1,2,1,4",1;3;5;b7;#9,advanced
Ab,7(#9),"x,2,1,3,4,x",1;3;5;b7;#9,advanced
Ab,9,"x,1,3,2,4,x",1;3;5;b7;9,advanced
Ab,9,"x,x,2,1,3,4",1;3;5;b7;9,advanced
Ab,9,"x,2,1,3,4,x",1;3;5;b7;9,advanced
Ab,9b5,"2,1,3,1,1,4",1;3;b5;b7;9,advanced
Ab,9b5,"x,x,1,2,3,1",1;3;b5;b7;9,advanced
Ab,9b5,"1,2,1,3,4,1",1;3;b5;b7;9,advanced
Ab,maj13,"2,1,1,1,3,1",1;3;5;7;9;11;13,advanced
Ab,maj13,"1,x,2,3,4,x",1;3;5;7;9;11;13,advanced
Ab,maj13,"2,x,1,1,4,1",1;3;5;7;9;11;13,advanced
Ab,maj13,"x,1,1,1,2,1",1;3;5;7;9;11;13,advanced
Ab,7,"x,x,1,1,1,2",1;3;5;b7,intermediate
Ab,7,"1,3,1,2,4,1",1;3;5;b7,intermediate
Ab,7,"x,1,3,1,4,1",1;3;5;b7,intermediate
Ab,7,"x,x,x,2,1,3",1;3;5;b7,beginner
Ab,7,"1,3,1,2,1,1",1;3;5;b7,intermediate
Ab,7,"1,x,2,3,x,x",1;3;5;b7,beginner
Ab,7,"x,2,1,3,x,x",1;3;5;b7,beginner
Ab,7,"x,x,1,3,2,4",1;3;5;b7,intermediate
Ab,7,"1,3,x,2,4,x",1;3;5;b7,intermediate
Ab,7,"x,x,1,2,1,1",1;3;5;b7,intermediate
Ab,7,"x,x,2,3,1,4",1;3;5;b7,intermediate
Ab,7,"1,3,1,2,4,x",1;3;5;b7,intermediate
Ab,dim7,"2,4,1,3,x,x",1;b3;b5;bb7,advanced
Ab,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
Ab,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
Ab,dim7,"3,x,1,4,2,x",1;b3;b5;bb7,advanced
Ab,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
Ab,aug,"x,3,2,1,1,x",1;3;#5,advanced
Ab,aug,"4,3,2,1,x,x",1;3;#5,advanced
Ab,aug,"x,x,4,2,3,1",1;3;#5,advanced
Ab,maj,"x,x,1,1,1,4",1;3;5,intermediate
Ab,maj,"1,3,4,2,1,1",1;3;5,intermediate
Ab,maj,"x,4,3,1,2,1",1;3;5,intermediate
Ab,maj,"4,x,1,1,1,x",1;3;5,intermediate
Ab,maj,"x,3,1,1,1,x",1;3;5,intermediate
Ab,maj,"x,1,4,3,2,x",1;3;5,intermediate
Ab,maj,"x,1,4,4,4,x",1;3;5,intermediate
Ab,maj,"1,x,3,1,2,x",1;3;5,intermediate
Ab,maj,"x,x,3,2,1,1",1;3;5,intermediate
Ab,maj,"x,x,x,3,4,1",1;3;5,beginner
Ab,maj,"x,x,1,1,1,x",1;3;5,beginner
Ab,maj,"1,3,4,2,x,x",1;3;5,intermediate
Ab,maj,"x,4,3,1,x,x",1;3;5,beginner
Ab,maj,"x,3,4,2,1,x",1;3;5,intermediate
Ab,maj,"1,x,x,2,1,1",1;3;5,intermediate
Ab,maj,"2,1,x,x,x,x",1;3;5,beginner
Ab,maj,"x,3,4,2,1,1",1;3;5,intermediate
Ab,maj,"3,x,1,4,x,x",1;3;5,beginner
Ab,maj,"x,1,2,3,4,1",1;3;5,intermediate
Ab,11,"3,x,4,2,1,1",1;3;5;b7;9;11,advanced
Ab,11,"x,x,1,1,2,1",1;3;5;b7;9;11,advanced
Ab,11,"x,1,1,1,1,1",1;3;5;b7;9;11,advanced
Ab,maj9,"2,1,4,1,3,x",1;3;5;7;9,advanced
Ab,maj9,"x,x,4,1,2,1",1;3;5;7;9,advanced
Ab,maj9,"x,2,1,4,3,x",1;3;5;7;9,advanced
Ab,m11,"2,x,3,4,1,x",1;b3;5;b7;9;11,advanced
Ab,m7b5,"2,x,3,4,1,x",1;b3;b5;b7,advanced
Ab,m,"1,3,4,1,1,1",1;b3;5,intermediate
Ab,m,"x,x,1,3,4,2",1;b3;5,intermediate
Ab,m,"x,1,3,4,2,1",1;b3;5,intermediate
Ab,m,"x,3,x,1,1,x",1;b3;5,beginner
Ab,7b5,"x,x,2,4,1,3",1;3;b5;b7,advanced
Ab,7b5,"1,3,2,4,x,x",1;3;b5;b7,advanced
Ab,7b5,"x,x,1,2,3,4",1;3;b5;b7,advanced
Ab,m7,"1,3,1,1,4,1",1;b3;5;b7,advanced
Ab,m7,"x,x,1,4,2,3",1;b3;5;b7,advanced
Ab,m7,"x,1,3,1,2,1",1;b3;5;b7,advanced
Ab,m7,"2,x,3,3,3,x",1;b3;5;b7,advanced
Ab,m7,"1,3,1,1,1,1",1;b3;5;b7,advanced
Ab,m7,"1,3,1,1,1,x",1;b3;5;b7,advanced
Ab,dim,"x,x,4,3,1,2",1;b3;b5,intermediate
Ab,dim,"x,1,2,4,3,x",1;b3;b5,intermediate
Ab,6,"x,x,1,1,1,1",1;3;5;6,intermediate
Ab,6,"1,x,3,2,4,1",1;3;5;6,intermediate
Ab,6,"x,4,2,3,1,x",1;3;5;6,intermediate
Ab,6,"x,x,3,2,4,1",1;3;5;6,intermediate
Ab,6,"2,x,1,4,x,x",1;3;5;6,beginner
Ab,6,"1,x,x,3,4,x",1;3;5;6,beginner
Ab,6,"x,x,1,3,1,4",1;3;5;6,intermediate
Ab,7(#5),"1,x,1,2,3,1",1;3;#5;b7,advanced
Ab,7(#5),"x,1,2,1,1,x",1;3;#5;b7,advanced
Ab,7(#5),"x,1,4,1,3,2",1;3;#5;b7,advanced
Ab,7(#5),"1,x,2,3,4,x",1;3;#5;b7,advanced
Ab,7(#5),"x,x,1,2,3,1",1;3;#5;b7,advanced
Ab,7sus4,"x,x,1,1,2,3",1;4;5;b7,advanced
Ab,7sus4,"1,3,1,4,1,1",1;4;5;b7,advanced
Ab,7sus4,"x,x,1,3,2,4",1;4;5;b7,advanced
Ab,7sus4,"4,x,1,3,2,x",1;4;5;b7,advanced
Ab,maj7,"x,x,4,3,2,1",1;3;5;7,advanced
Ab,maj7,"1,4,2,3,1,x",1;3;5;7,advanced
Ab,maj7,"x,4,3,1,1,1",1;3;5;7,advanced
Ab,maj7,"2,1,4,0,x,x",1;3;5;7,advanced
Ab,maj7,"1,x,3,4,2,x",1;3;5;7,advanced
Ab,maj7,"x,1,x,x,2,4",1;3;5;7,intermediate
Ab,maj7,"x,x,x,1,1,1",1;3;5;7,intermediate
Ab,maj7,"x,x,x,3,2,1",1;3;5;7,intermediate
Ab,maj7,"x,x,x,2,4,1",1;3;5;7,intermediate
Ab,maj7,"x,3,2,0,1,x",1;3;5;7,advanced
Ab,maj7,"1,x,2,3,x,x",1;3;5;7,intermediate
Ab,maj7,"x,2,x,0,1,4",1;3;5;7,advanced
Ab,maj7,"2,x,3,4,2,1",1;3;5;7,advanced
Ab,maj7,"x,x,1,3,3,3",1;3;5;7,advanced
Ab,5,"1,3,x,x,x,x",1;5,beginner
Ab,5,"1,3,4,x,x,x",1;5,beginner
Ab,5,"x,1,1,x,x,x",1;5,beginner
Ab,5,"x,1,3,4,x,x",1;5,beginner
Ab,7(#11),"2,x,3,4,1,x",1;3;5;b7;#11,advanced
Ab,7(#11),"1,x,1,4,x,x",1;3;5;b7;#11,advanced
Ab,m6,"x,x,1,2,0,3",1;b3;5;6,advanced
Ab,m6,"1,x,3,1,4,1",1;b3;5;6,advanced
Ab,m6,"x,3,1,2,1,x",1;b3;5;6,advanced
Ab,7(b9),"3,2,4,1,x,x",1;3;5;b7;b9,advanced
Ab,7(b9),"1,x,1,2,1,3",1;3;5;b7;b9,advanced
Ab,7(b9),"x,2,1,3,1,x",1;3;5;b7;b9,advanced
Ab,m9,"1,3,1,1,1,4",1;b3;5;b7;9,advanced
Ab,m9,"x,x,2,1,4,3",1;b3;5;b7;9,advanced
Ab,m9,"x,2,1,3,4,x",1;b3;5;b7;9,advanced
Ab,sus4,"x,x,1,1,2,4",1;4;5,intermediate
Ab,sus4,"1,1,3,4,1,1",1;4;5,intermediate
Ab,sus4,"x,x,1,2,3,4",1;4;5,intermediate
Ab,sus4,"1,x,3,3,x,x",1;4;5,beginner
Ab,6-Sep,"2,1,1,1,3,4",1;3;5;6;9,advanced
Ab,6-Sep,"x,x,2,1,3,4",1;3;5;6;9,advanced
Ab,6-Sep,"x,2,1,1,3,4",1;3;5;6;9,advanced
Bb,13,"x,1,0,2,3,4",1;3;5;b7;9;11;13,advanced
Bb,13,"4,x,3,2,1,1",1;3;5;b7;9;11;13,advanced
Bb,13,"1,x,1,2,3,4",1;3;5;b7;9;11;13,advanced
Bb,13,"1,x,2,3,4,x",1;3;5;b7;9;11;13,advanced
Bb,13,"x,1,2,1,4,4",1;3;5;b7;9;11;13,advanced
Bb,13,"x,1,1,1,2,1",1;3;5;b7;9;11;13,advanced
Bb,13,"x,x,1,2,3,1",1;3;5;b7;9;11;13,advanced
Bb,13,"1,x,1,2,3,1",1;3;5;b7;9;11;13,advanced
Bb,6(#11),"x,1,3,0,4,0",1;3;5;6;#11,advanced
Bb,7(#9),"x,1,0,2,4,3",1;3;5;b7;#9,advanced
Bb,7(#9),"2,1,3,3,3,x",1;3;5;b7;#9,advanced
Bb,7(#9),"1,3,1,2,1,4",1;3;5;b7;#9,advanced
Bb,9,"x,2,0,3,4,x",1;3;5;b7;9,advanced
Bb,9,"x,1,3,2,4,x",1;3;5;b7;9,advanced
Bb,9,"1,x,1,2,1,4",1;3;5;b7;9,advanced
Bb,9,"x,2,1,3,3,3",1;3;5;b7;9,advanced
Bb,9,"x,x,1,2,1,4",1;3;5;b7;9,advanced
Bb,9,"x,x,1,3,3,3",1;3;5;b7;9,advanced
Bb,9,"x,1,3,2,4,4",1;3;5;b7;9,advanced
Bb,9,"x,x,3,2,1,4",1;3;5;b7;9,advanced
Bb,9,"x,2,1,3,4,x",1;3;5;b7;9,advanced
Bb,9,"2,1,3,1,x,x",1;3;5;b7;9,advanced
Bb,9,"x,1,3,2,x,x",1;3;5;b7;9,intermediate
Bb,9,"x,x,2,1,3,x",1;3;5;b7;9,intermediate
Bb,9,"x,x,0,1,1,1",1;3;5;b7;9,advanced
Bb,9,"x,2,0,3,3,3",1;3;5;b7;9,advanced
Bb,9b5,"0,1,0,2,3,0",1;3;b5;b7;9,advanced
Bb,9b5,"2,1,3,1,1,4",1;3;b5;b7;9,advanced
Bb,9b5,"x,x,1,2,3,1",1;3;b5;b7;9,advanced
Bb,maj13,"2,1,1,1,3,1",1;3;5;7;9;11;13,advanced
Bb,maj13,"3,x,4,2,1,1",1;3;5;7;9;11;13,advanced
Bb,7,"x,1,3,1,4,1",1;3;5;b7,intermediate
Bb,7,"1,3,1,2,4,1",1;3;5;b7,intermediate
Bb,7,"x,x,1,3,2,4",1;3;5;b7,intermediate
Bb,7,"1,3,1,2,1,1",1;3;5;b7,intermediate
Bb,7,"x,x,1,3,2,x",1;3;5;b7,beginner
Bb,7,"x,x,1,1,1,3",1;3;5;b7,intermediate
Bb,7,"1,x,2,3,x,x",1;3;5;b7,beginner
Bb,7,"x,2,0,3,x,x",1;3;5;b7,beginner
Bb,7,"x,x,x,3,2,1",1;3;5;b7,beginner
Bb,7,"x,x,x,1,4,x",1;3;5;b7,beginner
Bb,7,"x,x,x,2,1,3",1;3;5;b7,beginner
Bb,7,"1,x,2,4,3,x",1;3;5;b7,intermediate
Bb,7,"x,x,1,2,1,1",1;3;5;b7,intermediate
Bb,7,"x,2,1,3,x,x",1;3;5;b7,beginner
Bb,7,"x,x,x,1,1,2",1;3;5;b7,beginner
Bb,7,"x,x,x,2,4,1",1;3;5;b7,beginner
Bb,dim7,"2,4,1,3,x,x",1;b3;b5;bb7,advanced
Bb,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
Bb,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
Bb,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
Bb,dim7,"3,x,1,4,2,x",1;b3;b5;bb7,advanced
Bb,aug,"x,3,2,1,1,x",1;3;#5,advanced
Bb,aug,"4,3,2,1,x,x",1;3;#5,advanced
Bb,aug,"x,x,4,2,3,1",1;3;#5,advanced
Bb,maj,"x,1,3,3,3,x",1;3;5,intermediate
Bb,maj,"1,3,4,2,1,1",1;3;5,intermediate
Bb,maj,"x,4,3,1,2,1",1;3;5,intermediate
Bb,maj,"4,3,1,1,1,x",1;3;5,intermediate
Bb,maj,"2,1,x,x,x,x",1;3;5,beginner
Bb,maj,"x,x,x,x,1,4",1;3;5,beginner
Bb,maj,"x,x,x,x,1,1",1;3;5,beginner
Bb,maj,"x,1,4,x,x,x",1;3;5,beginner
Bb,maj,"x,1,3,3,3,1",1;3;5,intermediate
Bb,maj,"x,x,0,3,4,1",1;3;5,intermediate
Bb,maj,"x,x,3,2,1,1",1;3;5,intermediate
Bb,maj,"x,3,x,2,1,1",1;3;5,intermediate
Bb,maj,"x,3,4,2,1,1",1;3;5,intermediate
Bb,maj,"x,x,1,1,1,x",1;3;5,beginner
Bb,maj,"x,3,1,1,1,x",1;3;5,intermediate
Bb,maj,"x,x,1,1,1,4",1;3;5,intermediate
Bb,maj,"x,x,2,1,x,x",1;3;5,beginner
Bb,11,"x,1,1,1,1,1",1;3;5;b7;9;11,advanced
Bb,11,"3,x,4,2,1,1",1;3;5;b7;9;11,advanced
Bb,11,"x,x,1,1,2,1",1;3;5;b7;9;11,advanced
Bb,maj9,"x,1,0,4,2,3",1;3;5;7;9,advanced
Bb,maj9,"2,1,4,1,x,x",1;3;5;7;9,advanced
Bb,maj9,"x,x,4,1,2,1",1;3;5;7;9,advanced
Bb,maj9,"x,1,4,1,2,1",1;3;5;7;9,advanced
Bb,maj9,"x,x,1,3,4,1",1;3;5;7;9,advanced
Bb,maj9,"x,1,3,2,1,x",1;3;5;7;9,advanced
Bb,sus2,"x,1,3,4,1,1",1;2;5,intermediate
Bb,m11,"x,x,2,3,1,x",1;b3;5;b7;9;11,advanced
Bb,m11,"x,1,1,1,2,1",1;b3;5;b7;9;11,advanced
Bb,m11,"x,1,1,1,2,x",1;b3;5;b7;9;11,advanced
Bb,m11,"2,x,3,4,1,x",1;b3;5;b7;9;11,advanced
Bb,m,"x,1,3,4,2,1",1;b3;5,intermediate
Bb,m,"1,3,4,1,1,1",1;b3;5,intermediate
Bb,m,"x,x,1,3,4,2",1;b3;5,intermediate
Bb,m,"x,x,3,4,2,1",1;b3;5,intermediate
Bb,m,"3,1,x,x,x,x",1;b3;5,beginner
Bb,m,"x,x,x,3,2,1",1;b3;5,beginner
Bb,m,"x,x,x,1,1,1",1;b3;5,beginner
Bb,m,"x,3,4,1,x,x",1;b3;5,beginner
Bb,7b5,"x,1,2,1,3,x",1;3;b5;b7,advanced
Bb,7b5,"x,x,2,4,1,3",1;3;b5;b7,advanced
Bb,7b5,"x,x,1,2,3,4",1;3;b5;b7,advanced
Bb,9(#11),"x,1,2,1,1,x",1;3;5;b7;9;#11,advanced
Bb,9(#11),"2,x,3,4,1,x",1;3;5;b7;9;#11,advanced
Bb,9(#11),"0,x,0,1,1,1",1;3;5;b7;9;#11,advanced
Bb,m7,"x,1,3,1,2,1",1;b3;5;b7,advanced
Bb,m7,"1,3,1,1,4,1",1;b3;5;b7,advanced
Bb,m7,"x,x,1,4,2,3",1;b3;5;b7,advanced
Bb,m7,"2,x,3,3,3,x",1;b3;5;b7,advanced
Bb,m7,"1,3,1,1,1,1",1;b3;5;b7,advanced
Bb,m7,"x,x,x,2,1,1",1;b3;5;b7,intermediate
Bb,m7,"2,x,3,3,3,3",1;b3;5;b7,advanced
Bb,m7,"2,x,3,3,x,x",1;b3;5;b7,intermediate
Bb,m7,"x,x,2,3,1,4",1;b3;5;b7,advanced
Bb,m7,"1,x,1,1,4,x",1;b3;5;b7,advanced
Bb,m(maj7),"x,1,4,2,3,x",1;b3;5;7,advanced
Bb,m(maj7),"x,x,2,1,1,1",1;b3;5;7,advanced
Bb,m(maj7),"1,x,4,2,3,x",1;b3;5;7,advanced
Bb,m(maj7),"1,3,2,1,1,1",1;b3;5;7,advanced
Bb,dim,"x,1,2,4,3,x",1;b3;b5,intermediate
Bb,dim,"x,x,4,3,1,2",1;b3;b5,intermediate
Bb,dim,"1,2,3,1,x,x",1;b3;b5,intermediate
Bb,dim,"x,x,x,2,1,3",1;b3;b5,beginner
Bb,6,"x,1,3,3,3,3",1;3;5;6,intermediate
Bb,6,"1,x,3,2,4,1",1;3;5;6,intermediate
Bb,6,"x,x,1,3,1,4",1;3;5;6,intermediate
Bb,6,"3,1,2,0,x,x",1;3;5;6,intermediate
Bb,6,"x,1,x,0,3,4",1;3;5;6,intermediate
Bb,6,"x,1,x,0,4,x",1;3;5;6,beginner
Bb,6,"2,x,1,4,3,x",1;3;5;6,intermediate
Bb,6,"x,x,3,3,3,3",1;3;5;6,intermediate
Bb,6,"x,1,3,0,4,x",1;3;5;6,intermediate
Bb,6,"2,1,0,0,3,4",1;3;5;6,intermediate
Bb,6,"2,x,1,3,x,x",1;3;5;6,beginner
Bb,6,"2,x,1,3,4,x",1;3;5;6,intermediate
Bb,6,"x,x,3,2,4,1",1;3;5;6,intermediate
Bb,6,"1,x,x,0,2,x",1;3;5;6,beginner
Bb,6,"x,2,3,1,4,x",1;3;5;6,intermediate
Bb,6,"x,x,1,1,1,1",1;3;5;6,intermediate
Bb,6,"x,1,3,1,2,1",1;3;5;6,intermediate
Bb,6,"x,x,1,4,2,3",1;3;5;6,intermediate
Bb,6,"x,1,x,x,3,4",1;3;5;6,beginner
Bb,6,"x,1,3,0,x,x",1;3;5;6,beginner
Bb,6,"1,x,0,0,4,x",1;3;5;6,intermediate
Bb,6,"x,1,0,0,4,x",1;3;5;6,intermediate
Bb,7(#5),"x,1,4,1,3,2",1;3;#5;b7,advanced
Bb,7(#5),"1,x,1,2,3,1",1;3;#5;b7,advanced
Bb,7(#5),"x,1,2,1,1,x",1;3;#5;b7,advanced
Bb,7(#5),"x,x,1,2,3,1",1;3;#5;b7,advanced
Bb,7(#5),"1,x,2,3,4,x",1;3;#5;b7,advanced
Bb,7sus4,"x,1,3,1,4,1",1;4;5;b7,advanced
Bb,7sus4,"1,3,1,4,1,1",1;4;5;b7,advanced
Bb,7sus4,"x,x,1,3,2,4",1;4;5;b7,advanced
Bb,7sus4,"x,1,1,1,2,x",1;4;5;b7,advanced
Bb,7sus4,"1,x,2,4,x,x",1;4;5;b7,intermediate
Bb,maj7,"x,1,3,2,4,1",1;3;5;7,advanced
Bb,maj7,"1,4,2,3,1,x",1;3;5;7,advanced
Bb,maj7,"x,4,3,1,1,1",1;3;5;7,advanced
Bb,maj7,"x,x,1,3,3,3",1;3;5;7,advanced
Bb,maj7,"x,1,3,2,4,x",1;3;5;7,advanced
Bb,maj7,"1,x,3,4,x,x",1;3;5;7,intermediate
Bb,maj7,"1,x,3,4,2,x",1;3;5;7,advanced
Bb,maj7,"x,x,4,3,2,1",1;3;5;7,advanced
Bb,maj7,"x,x,1,1,1,4",1;3;5;7,advanced
Bb,maj7,"x,2,4,1,3,x",1;3;5;7,advanced
Bb,maj7,"1,1,3,2,4,1",1;3;5;7,advanced
Bb,maj7,"2,x,3,4,2,1",1;3;5;7,advanced
Bb,maj7,"x,1,4,2,x,x",1;3;5;7,intermediate
Bb,maj7,"x,1,0,2,4,1",1;3;5;7,advanced
Bb,5,"x,1,3,x,x,x",1;5,beginner
Bb,5,"1,3,x,x,x,x",1;5,beginner
Bb,5,"1,3,4,x,x,x",1;5,beginner
Bb,5,"x,1,1,x,x,x",1;5,beginner
Bb,5,"1,1,3,x,x,x",1;5,beginner
Bb,5,"x,1,3,4,x,x",1;5,beginner
Bb,5,"1,1,x,x,x,x",1;5,beginner
Bb,5,"x,x,x,1,4,x",1;5,beginner
Bb,5,"x,x,1,1,x,x",1;5,beginner
Bb,5,"x,x,1,3,4,x",1;5,beginner
Bb,5,"x,x,1,4,x,x",1;5,beginner
Bb,m6,"x,1,3,0,2,4",1;b3;5;6,advanced
Bb,m6,"1,x,3,1,4,1",1;b3;5;6,advanced
Bb,m6,"x,x,1,3,1,2",1;b3;5;6,advanced
Bb,m6,"2,x,1,3,3,3",1;b3;5;6,advanced
Bb,7(b9),"x,1,0,2,x,3",1;3;5;b7;b9,advanced
Bb,7(b9),"3,2,4,1,x,x",1;3;5;b7;b9,advanced
Bb,7(b9),"1,x,1,2,1,3",1;3;5;b7;b9,advanced
